,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,16,16,0.5,2.71,3.31,,6,10,,12,5,,3,11,,2074,2082,,62.5,102.5,0.387,0.367,0.572,45.3,68.4,9.9,8.7,0.54,17.5,20.4,0.273
2,Akron NCAA,36,23,13,0.639,2.15,-1.02,,9,7,,14,2,,5,9,,2524,2365,,67,102.9,0.313,0.379,0.53,47.9,58.3,9.8,9.2,0.499,15.4,28.3,0.22
3,Alabama A&M,28,13,15,0.464,-15.19,-11.75,,10,8,,9,4,,4,10,,1808,1870,,71.6,89.8,0.418,0.272,0.472,48.8,53.6,11.6,13.1,0.435,18.8,31.7,0.261
4,Alabama-Birmingham NCAA,31,22,9,0.71,8.55,2.78,,12,4,,13,2,,8,5,,2119,1940,,63.1,105.7,0.297,0.405,0.538,51.7,55.6,8.2,8.2,0.508,16.4,33.4,0.213
5,Alabama State NCAA,35,17,18,0.486,-13.37,-10.31,,11,7,,10,3,,4,14,,2146,2234,,66.5,91.5,0.473,0.317,0.476,50.7,55.5,10.9,13.1,0.44,19.6,35.7,0.285
6,Alabama,37,25,12,0.676,11.7,4.27,,12,4,,19,0,,4,6,,2473,2198,,65.3,101.6,0.316,0.247,0.52,52,48.8,14.4,14.2,0.487,17.8,36.8,0.223
7,Albany (NY),32,16,16,0.5,-7.05,-5.96,,9,7,,7,6,,7,8,,2013,2048,,61,101.1,0.297,0.369,0.517,51.7,51.1,7.5,8.3,0.494,17.4,35.1,0.192
8,Alcorn State,28,4,24,0.143,-23.02,-8.02,,4,14,,2,7,,2,17,,1838,2258,,77.6,84.2,0.469,0.216,0.452,43.5,41.5,10,8.3,0.404,18.9,25.5,0.297
9,American,31,22,9,0.71,-3.13,-5.64,,11,3,,10,3,,10,5,,2051,1973,,61.9,105.2,0.375,0.348,0.543,52.4,60.1,6.5,7.6,0.506,15.5,29.8,0.269
10,Appalachian State,31,16,15,0.516,-4.81,-2.95,,10,8,,9,3,,6,8,,2265,2269,,68.9,105.6,0.399,0.335,0.548,49.9,41.4,8.3,7.2,0.511,16.3,30.4,0.281
11,Arizona State,31,12,19,0.387,4.3,7.2,,4,14,,8,7,,2,10,,1983,2073,,64.4,99,0.29,0.409,0.521,47.3,64.4,9.8,10.9,0.501,16.6,27.7,0.182
12,Arizona NCAA,38,30,8,0.789,16.54,7.99,,14,4,,17,0,,7,4,,2905,2580,,66.9,112.8,0.436,0.361,0.583,53.1,55.3,7.7,6.5,0.541,16.3,34,0.325
13,Little Rock NCAA,36,19,17,0.528,-4.32,-2.97,,7,9,,10,5,,3,10,,2457,2426,,65.4,103.3,0.423,0.317,0.528,48.9,52.5,8.9,7.4,0.488,15.5,29.9,0.292
14,Arkansas-Pine Bluff,31,7,24,0.226,-20,-8.03,,7,11,,5,4,,2,19,,1850,2221,,68.4,86.2,0.401,0.345,0.483,46.7,56.9,10.9,6.4,0.449,21.3,26.9,0.252
15,Arkansas State,32,17,15,0.531,-3.38,-3.31,,11,5,,13,0,,4,10,,2188,2066,,65.6,103.8,0.435,0.294,0.526,53.4,48.7,9.6,8.5,0.481,16.7,35.9,0.308
16,Arkansas,31,18,13,0.581,6.28,2.34,,7,9,,15,3,,2,7,,2191,2069,,67.7,102.8,0.394,0.325,0.532,48,49.3,10.6,13.9,0.495,16.6,30.7,0.274
17,Army,30,11,19,0.367,-10.71,-6.58,,3,11,,4,8,,7,10,,2038,2141,,68.2,99.6,0.298,0.426,0.525,48.8,57,8.3,5.1,0.493,17.9,30.1,0.212
