,X,team,conf,barthag,barthag_rk,adj_o,adj_o_rk,adj_d,adj_d_rk,adj_t,adj_t_rk,wab,nc_elite_sos,nc_fut_sos,nc_cur_sos,ov_elite_sos,ov_fut_sos,ov_cur_sos,seed,year,
1,1,Louisville,Amer,0.971034,1,118.835,10,87.5596,2,68.7938,67,5.314847491,14,0.4498,0.4498,23,0.6026,0.6026,4,2014,S16
2,2,Arizona,P12,0.963574,2,116.155,19,87.3664,1,64.321,284,9.441718454,22,0.5758,0.5758,30,0.7088,0.7088,1,2014,E8
3,3,Florida,SEC,0.957514,3,115.87,20,88.3746,3,63.0652,325,11.72061712,24,0.5914,0.5914,31,0.7128,0.7128,1,2014,F4
4,4,Virginia,ACC,0.944922,4,114.638,26,89.5342,5,61.2236,345,8.190869796,22,0.5628,0.5628,31,0.7,0.7,1,2014,S16
5,5,Wisconsin,B10,0.944055,5,122.676,4,95.9497,38,63.9327,297,7.947367443,24,0.6019,0.6019,35,0.7517,0.7517,2,2014,F4
6,6,Duke,ACC,0.943151,6,125.905,1,98.6206,69,66.6796,165,6.47574826,24,0.6022,0.6022,31,0.7186,0.7186,3,2014,R64
7,7,Tennessee,SEC,0.937371,7,118.128,13,93.3611,17,63.0867,324,0.3632192291,22,0.5683,0.5683,30,0.6937,0.6937,11,2014,S16
8,8,Michigan St.,B10,0.931921,8,119.59,6,95.2537,32,66.2339,191,6.93507438,20,0.5507,0.5507,34,0.73,0.73,4,2014,E8
9,9,Michigan,B10,0.929499,9,125.018,3,99.9026,88,62.5712,332,7.728958904,25,0.5293,0.5293,37,0.7314,0.7314,2,2014,E8
10,10,Wichita St.,MVC,0.929451,10,116.352,18,92.9837,14,65.1082,248,8.113236463,22,0.6059,0.6059,17,0.5564,0.5564,1,2014,R32
11,11,Kansas,B12,0.926975,11,119.187,7,95.5571,34,68.1689,91,6.899012403,32,0.7237,0.7237,35,0.771,0.771,2,2014,R32
12,12,Pittsburgh,ACC,0.926085,12,117.143,17,94.0252,20,63.7693,305,4.138208056,13,0.4849,0.4849,29,0.6895,0.6895,9,2014,R32
13,13,Villanova,BE,0.925979,13,115.184,23,92.4653,11,67.5558,117,8.334139385,23,0.5796,0.5796,28,0.686,0.686,2,2014,R32
14,14,Connecticut,Amer,0.917125,14,112.528,49,91.3014,9,64.8058,262,4.7345618,19,0.5726,0.5726,32,0.6928,0.6928,7,2014,Champions
15,15,UCLA,P12,0.916657,15,119.01,9,96.6125,46,70.1928,33,4.539460794,14,0.4924,0.4924,27,0.6796,0.6796,4,2014,S16
16,16,Syracuse,ACC,0.915628,16,114.215,32,92.828,12,61.5035,343,7.867525564,19,0.5496,0.5496,29,0.691,0.691,3,2014,R32
