,X,team,conf,barthag,barthag_rk,adj_o,adj_o_rk,adj_d,adj_d_rk,adj_t,adj_t_rk,wab,nc_elite_sos,nc_fut_sos,nc_cur_sos,ov_elite_sos,ov_fut_sos,ov_cur_sos,seed,year,final
1,1,Gonzaga,WCC,0.966181,1,120.307,4,89.8858,9,72.6459,5,6.711675308,23,0.4933,0.4933,26,0.5999,0.5999,1,2022,S16
2,2,Houston,Amer,0.959492,2,116.537,10,88.5001,6,63.7171,336,6.153742149,18,0.5603,0.5603,26,0.669,0.669,5,2022,E8
3,3,Kansas,B12,0.95802,3,119.794,5,91.2679,13,69.1149,71,10.40963348,20,0.6267,0.6267,37,0.7798,0.7798,1,2022,Champions
4,4,Texas Tech,B12,0.950897,4,110.513,41,85.4075,1,66.3175,223,6.57205925,18,0.3923,0.3923,36,0.6952,0.6952,3,2022,S16
5,5,Baylor,B12,0.94907,5,117.777,8,91.3267,14,67.5563,149,8.907444663,20,0.5066,0.5066,35,0.7187,0.7187,1,2022,R32
6,6,Duke,ACC,0.944015,6,122.716,1,95.9874,53,67.4209,161,7.18535518,20,0.4597,0.4597,30,0.6895,0.6895,2,2022,F4
7,7,Tennessee,SEC,0.943942,7,111.291,34,87.0607,3,67.3565,164,7.9553294,30,0.5971,0.5971,34,0.7266,0.7266,3,2022,R32
8,8,Villanova,BE,0.934586,8,117.171,9,92.9801,26,62.1973,350,7.288447022,34,0.6494,0.6494,34,0.7443,0.7443,2,2022,F4
9,9,Arizona,P12,0.934109,9,118.038,7,93.7315,35,72.2585,9,8.76115921,22,0.5134,0.5134,26,0.6481,0.6481,1,2022,S16
10,10,UCLA,P12,0.932067,10,115.836,12,92.245,20,65.3691,274,5.055118115,25,0.5714,0.5714,28,0.6878,0.6878,4,2022,S16
11,11,Kentucky,SEC,0.929467,11,119.378,6,95.3994,44,67.7708,133,6.874275311,22,0.48,0.48,32,0.673,0.673,2,2022,R64
12,12,Purdue,B10,0.926733,12,121.592,2,97.5158,86,66.0107,242,7.013137618,16,0.484,0.484,30,0.7056,0.7056,3,2022,S16
13,13,Iowa,B10,0.926521,13,121.147,3,97.1854,80,69.804,50,4.549008193,14,0.4068,0.4068,28,0.6707,0.6707,5,2022,R64
14,14,Auburn,SEC,0.922756,14,111.675,30,90.0084,10,69.991,49,7.417990937,21,0.6223,0.6223,27,0.7033,0.7033,2,2022,R32
15,15,Texas,B12,0.915167,15,112.508,24,91.4877,15,63.5342,339,3.357670578,17,0.4015,0.4015,36,0.6949,0.6949,6,2022,R32
16,16,North Carolina,ACC,0.911258,16,114.43,17,93.4508,33,70.0724,45,4.258425563,25,0.5953,0.5953,33,0.7206,0.7206,8,2022,2ND
17,17,Memphis,Amer,0.902827,17,112.442,25,92.6296,23,70.0358,47,1.352499399,21,0.6271,0.6271,28,0.6934,0.6934,9,2022,R32
18,18,Virginia Tech,ACC,0.90275,18,115.562,14,95.207,43,63.2914,341,1.735945679,20,0.5094,0.5094,29,0.6826,0.6826,11,2022,R64
19,19,Saint Mary's,WCC,0.902421,19,109.791,47,90.4816,11,63.6649,338,3.936161014,20,0.5686,0.5686,27,0.6333,0.6333,5,2022,R32
20,20,Illinois,B10,0.894302,20,111.934,27,92.9643,25,67.0872,184,4.154646462,19,0.5397,0.5397,32,0.7305,0.7305,4,2022,R32
21,21,Arkansas,SEC,0.88938,21,108.703,60,90.6823,12,70.6275,28,4.468636964,12,0.5002,0.5002,30,0.6992,0.6992,4,2022,E8
22,22,LSU,SEC,0.876604,22,106.312,96,89.6472,8,68.6761,95,2.285095478,15,0.513,0.513,30,0.6892,0.6892,6,2022,R64
23,23,San Francisco,WCC,0.874816,23,110.173,44,93.0363,27,68.953,80,1.633433771,17,0.5522,0.5522,24,0.6076,0.6076,10,2022,R64
24,24,Michigan,B10,0.874144,24,113.894,19,96.2297,62,66.4272,217,0.1640677023,25,0.6441,0.6441,36,0.7683,0.7683,11,2022,S16
25,25,Connecticut,BE,0.870909,25,113.198,22,95.8837,52,65.0338,292,3.081213241,18,0.4554,0.4554,27,0.6601,0.6601,5,2022,R64
26,26,TCU,B12,0.869814,26,108.603,63,92.0695,18,65.894,248,2.924316129,12,0.4376,0.4376,37,0.7253,0.7253,9,2022,R32
27,27,San Diego St.,MWC,0.867546,27,102.351,173,86.9192,2,65.3021,277,2.617516333,21,0.576,0.576,24,0.651,0.651,8,2022,R64
28,28,Indiana,B10,0.865202,28,107.683,74,91.6084,16,67.2443,174,0.2242039321,13,0.4281,0.4281,30,0.6953,0.6953,12,2022,R64
30,30,Ohio St.,B10,0.861233,30,115.459,15,98.5112,109,65.1479,284,1.327227505,21,0.5758,0.5758,31,0.7279,0.7279,7,2022,R32
31,31,Alabama,SEC,0.861228,31,115.167,16,98.2626,100,71.829,13,1.961055714,32,0.7343,0.7343,35,0.7715,0.7715,6,2022,R64
34,34,Providence,BE,0.855359,34,111.435,33,95.4779,46,65.3336,276,5.876812549,19,0.5447,0.5447,27,0.6827,0.6827,4,2022,S16
36,36,Notre Dame,ACC,0.854196,36,112.78,23,96.7092,73,65.4006,272,1.853657931,23,0.5143,0.5143,28,0.6648,0.6648,11,2022,R32
37,37,Wisconsin,B10,0.851113,37,108.679,61,93.3914,31,66.4175,218,6.457746407,24,0.5849,0.5849,31,0.7283,0.7283,3,2022,R32
38,38,Miami FL,ACC,0.846736,38,113.561,21,97.8766,93,67.7136,136,2.579431291,18,0.5272,0.5272,30,0.7027,0.7027,10,2022,E8
39,39,Loyola Chicago,MVC,0.84391,39,106.905,86,92.3133,21,64.6008,314,1.758773818,22,0.5251,0.5251,19,0.5626,0.5626,10,2022,R64
40,40,Boise St.,MWC,0.843442,40,107.586,78,92.9301,24,64.5215,318,3.499308269,13,0.5016,0.5016,22,0.6239,0.6239,8,2022,R64
41,41,Michigan St.,B10,0.840496,41,111.626,31,96.606,70,67.5928,146,2.886192183,26,0.5987,0.5987,33,0.7401,0.7401,7,2022,R32
43,43,Iowa St.,B12,0.834586,43,101.748,184,88.3905,5,66.3127,224,2.826231841,15,0.4135,0.4135,37,0.7078,0.7078,11,2022,S16
46,46,Davidson,A10,0.825833,46,115.799,13,101.141,148,64.6283,312,2.135981112,14,0.443,0.443,17,0.537,0.537,10,2022,R64
47,47,Murray St.,OVC,0.824084,47,110.038,45,96.2111,61,66.0439,238,3.508860993,17,0.4546,0.4546,13,0.4184,0.4184,7,2022,R32
49,49,Colorado St.,MWC,0.819025,49,111.855,28,98.0938,95,65.564,259,4.302026853,14,0.4432,0.4432,22,0.6106,0.6106,6,2022,R64
51,51,Creighton,BE,0.815135,51,104.82,123,92.1325,19,66.9885,192,1.720009638,14,0.5197,0.5197,29,0.7023,0.7023,9,2022,R32
58,58,USC,P12,0.802098,58,108.626,62,96.1802,59,66.192,234,4.089435289,12,0.443,0.443,24,0.6335,0.6335,7,2022,R64
60,60,UAB,CUSA,0.800125,60,111.821,29,99.115,120,68.8939,85,-0.1032509405,13,0.4107,0.4107,15,0.4751,0.4751,12,2022,R64
61,61,Seton Hall,BE,0.800005,61,105.41,111,93.4385,32,67.5793,147,1.930861606,18,0.504,0.504,28,0.6803,0.6803,8,2022,R64
63,63,Vermont,AE,0.798395,63,109.688,48,97.3156,84,64.833,305,-0.7703276076,16,0.4918,0.4918,9,0.3443,0.3443,13,2022,R64
