"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1","Villanova","BE",0.972517,1,128.354,1,94.1301,15,69.611,162,10.587683226661,21,0.6035,0.6035,35,0.758,0.758,1,2018
"2","Virginia","ACC",0.961243,2,114.625,31,86.7002,1,60.4812,351,11.256649776364,18,0.5553,0.5553,30,0.7096,0.7096,1,2018
"3","Duke","ACC",0.959228,3,122.318,3,92.9449,7,70.929,91,6.6362325488824,23,0.6041,0.6041,32,0.723,0.723,2,2018
"4","Purdue","B10",0.948403,4,123.229,2,95.6683,33,68.7143,209,7.6367558096272,21,0.542,0.542,31,0.7019,0.7019,2,2018
"5","Cincinnati","Amer",0.941744,5,111.648,56,87.6508,2,66.1872,322,5.9407583849375,19,0.4595,0.4595,22,0.5808,0.5808,2,2018
"6","Kansas","B12",0.938486,6,122.113,4,96.3506,41,69.9025,147,8.1868073423248,20,0.6102,0.6102,37,0.7768,0.7768,1,2018
"7","Michigan","B10",0.937454,7,114.421,34,90.4208,3,65.887,327,6.8880461325386,16,0.4144,0.4144,33,0.6923,0.6923,3,2018
"8","West Virginia","B12",0.935294,8,120.856,7,95.8073,35,71.1591,80,4.5994862715205,16,0.4483,0.4483,34,0.7093,0.7093,5,2018
"9","Michigan St.","B10",0.934694,9,118.883,11,94.3238,17,68.0438,238,7.9690498737737,16,0.447,0.447,27,0.6618,0.6618,3,2018
"10","North Carolina","ACC",0.924209,10,120.694,8,97.1039,51,72.6018,41,7.1211639296963,31,0.6668,0.6668,39,0.7622,0.7622,2,2018
"11","Tennessee","SEC",0.922514,11,114.168,36,92.0455,5,67.1206,282,6.3939458893744,29,0.6453,0.6453,33,0.7458,0.7458,3,2018
"12","Xavier","BE",0.921075,12,120.917,6,97.6559,59,71.6775,61,8.7792243124825,18,0.5779,0.5779,31,0.7239,0.7239,1,2018
"13","Gonzaga","WCC",0.919224,13,117.23,15,94.8858,20,70.5471,108,4.8572616285805,28,0.5729,0.5729,21,0.5518,0.5518,4,2018
"14","Texas Tech","B12",0.916972,14,112.694,50,91.452,4,67.5636,261,4.694933534904,14,0.4412,0.4412,35,0.714,0.714,3,2018
"15","Ohio St.","B10",0.915353,15,115.965,22,94.2796,16,68.1579,235,4.5132752523262,20,0.5387,0.5387,31,0.7024,0.7024,5,2018
"16","Penn St.","B10",0.914758,16,115.008,28,93.5638,10,68.7101,210,-0.45503780021309,11,0.4064,0.4064,30,0.674,0.674,NA,2018
"17","Florida","SEC",0.913213,17,115.174,27,93.8589,13,68.4779,221,1.4045127784773,27,0.6051,0.6051,32,0.7314,0.7314,6,2018
"18","Houston","Amer",0.909718,18,114.822,29,93.9246,14,69.4377,173,2.4185440370769,14,0.4602,0.4602,23,0.5821,0.5821,6,2018
"19","Butler","BE",0.906785,19,116.103,21,95.2641,28,69.0718,189,1.6834145448463,21,0.5387,0.5387,36,0.7351,0.7351,10,2018
"20","Kentucky","SEC",0.900045,20,115.761,23,95.6238,32,69.9874,141,4.3111151903113,22,0.6318,0.6318,32,0.7557,0.7557,5,2018
"21","Clemson","ACC",0.898378,21,112.531,52,93.1044,8,67.2293,276,3.9535907937275,17,0.4995,0.4995,33,0.7061,0.7061,5,2018
"22","Seton Hall","BE",0.890239,22,117.781,14,98.1804,66,70.6776,102,2.4634997825615,18,0.5338,0.5338,34,0.7265,0.7265,8,2018
"23","Creighton","BE",0.883643,23,116.234,19,97.4472,56,72.2541,46,2.0324694897219,17,0.4349,0.4349,32,0.6795,0.6795,8,2018
"24","TCU","B12",0.880352,24,119.49,10,100.452,98,69.9584,144,2.203801340108,14,0.5203,0.5203,32,0.7245,0.7245,6,2018
"25","Auburn","SEC",0.867159,25,114.03,39,96.8653,49,73.7967,19,4.2649923210966,13,0.4823,0.4823,26,0.6745,0.6745,4,2018
"26","Wichita St.","Amer",0.867121,26,120.936,5,102.735,146,70.0588,135,3.3679496303891,21,0.5691,0.5691,24,0.6245,0.6245,4,2018
"27","Texas A&M","SEC",0.863999,27,111.209,60,94.6928,18,70.2512,118,1.9333397348821,28,0.6176,0.6176,35,0.7488,0.7488,7,2018
"28","Florida St.","ACC",0.863119,28,113.168,47,96.4234,43,72.5384,43,0.95483922595425,14,0.4105,0.4105,33,0.6835,0.6835,9,2018
