"","team","conf","barthag"
"1","Houston","Amer",0.958749
"2","Alabama","SEC",0.956558
"3","UCLA","P12",0.946409
"4","Tennessee","SEC",0.941698
"5","Connecticut","BE",0.941476
"6","Purdue","B10",0.938723
"7","Gonzaga","WCC",0.93245
"8","Texas","B12",0.931341
"9","Saint Mary's","WCC",0.927985
"10","Arizona","P12",0.927427
"11","San Diego St.","MWC",0.926769
"12","Kansas","B12",0.916299
"13","Marquette","BE",0.91189
"14","Baylor","B12",0.908932
"15","Creighton","BE",0.90703
"16","Memphis","Amer",0.901848
"17","Texas A&M","SEC",0.899992
"18","Arkansas","SEC",0.895013
"19","West Virginia","B12",0.893774
"20","Iowa St.","B12",0.889053
"21","Duke","ACC",0.887186
"22","Xavier","BE",0.886188
"23","Auburn","SEC",0.883764
"24","Kansas St.","B12",0.881375
"25","Utah St.","MWC",0.880817
"26","TCU","B12",0.876733
"27","Kentucky","SEC",0.867054
"28","Maryland","B10",0.862832
"29","Michigan St.","B10",0.860176
"30","Boise St.","MWC",0.859412
"31","Florida Atlantic","CUSA",0.85828
"32","Virginia","ACC",0.856395
"33","Indiana","B10",0.85432
"35","Northwestern","B10",0.848156
"37","Iowa","B10",0.836627
"38","Miami FL","ACC",0.836547
"41","USC","P12",0.831154
"42","Penn St.","B10",0.82977
"45","Illinois","B10",0.824323
"46","Drake","MVC",0.824283
"49","North Carolina St.","ACC",0.818692
"56","Missouri","SEC",0.807072
"58","Mississippi St.","SEC",0.805104
"59","Providence","BE",0.804208
"60","Nevada","MWC",0.803013
"61","VCU","A10",0.802034
"69","Arizona St.","P12",0.784927
"70","Oral Roberts","Sum",0.783307
"71","Iona","MAAC",0.781429
"72","College of Charleston","CAA",0.780144
"79","Kent St.","MAC",0.764985
"85","Pittsburgh","ACC",0.740969
"88","Louisiana Lafayette","SB",0.735983
"94","Furman","SC",0.717303
"99","Vermont","AE",0.693909
"100","Montana St.","BSky",0.692222
"109","Colgate","Pat",0.66076
"110","Princeton","Ivy",0.652935
"116","Kennesaw St.","ASun",0.634226
"118","Grand Canyon","WAC",0.63086
"119","UC Santa Barbara","BW",0.625818
"156","Northern Kentucky","Horz",0.522017
"177","UNC Asheville","BSth",0.487925
"186","Texas A&M Corpus Chris","Slnd",0.462893
"213","Howard","MEAC",0.408495
"263","Southeast Missouri St.","OVC",0.292833
"282","Texas Southern","SWAC",0.266253
"310","Fairleigh Dickinson","NEC",0.214319
