RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,SEED
1,Houston,Amer,34,31,118.2,89.9,0.9589,52.7,42.5,15.3,22,37.1,27.4,28.5,35.8,53.2,43.1,34.5,27.8,63.3,8.4,1
2,Alabama,SEC,34,29,117,89.4,0.9567,52.7,41.5,19,15.9,33.8,27.5,36.7,32.8,54.6,41.2,33.8,28.1,72.7,10.6,1
3,UCLA,P12,34,29,113.6,88.6,0.9458,50.9,46.8,15.3,23.6,33.7,27.6,27.1,27.6,50.4,46.8,34.7,31.1,66.4,8.3,2
4,Tennessee,SEC,33,23,112.4,88.3,0.9419,50.3,42.4,18.1,22.2,36.8,26.9,30.9,34.9,51,44.6,32.9,26.2,65.6,3.2,4
5,Connecticut,BE,33,25,119.9,94.1,0.9415,53.5,45.5,18.9,19.4,39.2,26.2,31.4,38.7,53.4,45.8,35.7,30,67,4.9,4
6,Purdue,B10,34,29,119.5,94.2,0.9391,52.2,47.2,17,15.4,38.3,23.3,37.2,19.3,54.1,47.4,32.6,31.4,64.1,9.2,1
7,Gonzaga,WCC,32,28,125.3,99.7,0.9328,58.5,51.7,14.6,18.8,31.1,26,34.2,26.7,59,51.2,38.4,35,70,7.1,3
8,Texas,B12,34,26,115.9,92.3,0.9317,52.7,47.8,16.5,22.8,28.3,29.4,31.5,34.5,53.8,47.2,33.9,32.7,68.8,8,2
9,Saint Mary's,WCC,32,26,113.2,90.6,0.9277,52.5,46.7,16.4,19,33.1,21.8,31.2,30.3,51,45.6,36.7,32.8,62.1,3.9,5
10,San Diego St.,MWC,32,27,112.9,90.6,0.9268,50.1,47.5,17.6,19.6,31.7,25.8,34.3,29.4,49.4,49.9,34.4,29.2,66.1,6.5,5
11,Arizona,P12,34,28,120.5,96.7,0.9266,56.8,47.2,18.4,16.9,31.1,26.2,36.5,26,56.6,45.9,38.2,32.8,72.4,7.4,2
12,Kansas,B12,34,27,113.8,92.4,0.9166,52.4,47.1,17.5,20.2,28.4,28.3,29.8,31.2,52.9,47.2,34.4,31.2,69.1,10.5,1
13,Marquette,BE,34,28,119,97.2,0.9115,56,51.1,15.2,22.8,26.5,32.1,27.1,29,58.8,50,34.8,35.2,68.6,7.4,2
14,Baylor,B12,32,22,123.1,100.8,0.9086,53.1,51.4,18.1,19.9,34.7,31.1,37.2,31.4,50.8,53.3,37.2,32.2,67,5.6,3
15,Creighton,BE,33,21,114.7,94.2,0.906,54.3,47.3,16.6,14.3,25.5,23.3,28.1,19.8,54.5,45.6,36,34.1,67.9,1.8,6
