"","x"
"1",2.5858974430523
"2",2.5590533917912
"3",2.05115029219104
"4",1.81919724462732
"5",2.16642961119514
"6",2.0428141772589
"7",1.84161814862013
"8",1.8661728352004
"9",1.52215820406909
"10",1.71436608652077
"11",1.49476652323543
"12",1.4762176888461
"13",1.36193418422432
"14",1.42955926814345
"15",1.2951297134022
"16",1.28205723426172
"17",1.30203246279541
"18",1.1551061714625
"19",1.3979292532872
"20",1.04828315171321
"21",0.856632509262695
"22",0.900309322995695
"23",1.07036393241398
"24",0.915832566453716
"25",1.0623957717663
"26",0.973243094243373
"27",0.782438746226944
"28",0.82606023476853
"29",0.793370402046786
"30",0.71462309149105
"31",0.62687620620822
"32",0.369251808550759
"33",0.603477536906817
"35",0.568163842762084
"37",0.371898809130747
"38",0.281679422362814
"41",0.576723000205208
"42",0.626883489801553
"45",0.419076723534145
"46",0.39178977056772
"49",0.461978901540543
"56",0.258735463454514
"58",0.3764204632523
"59",0.439742997044215
"60",0.399961327143634
"61",0.214546882507621
"69",0.302195062241017
"70",0.0737016011898531
"71",0.161048259179185
"72",0.189566839380602
"79",0.0990906957419113
"85",-0.0456160309661815
"88",-0.0344610028072651
"94",-0.150750900764707
"99",0.028532622365992
"100",0.00904177567245343
"109",-0.102502128578885
"110",0.00246027506491348
"116",-0.0138587408747804
"118",-0.167150283044203
"119",-0.0917823800026025
"156",0.179865734849684
"177",0.170238831607383
"186",-0.0429156866136599
"213",0.0882691340262449
"263",-0.0492910446181023
"282",0.159162595206139
"310",-0.575455168135088
