"","x"
"1",2.67168098184328
"2",2.81629647537396
"3",2.14094738095878
"4",1.91801711307212
"5",2.13262350901478
"6",2.1218222890037
"7",1.84637325231035
"8",1.89504776696606
"9",1.60399519925494
"10",1.76836119347935
"11",1.65388688964155
"12",1.5899250646024
"13",1.37800481598852
"14",1.40460704641068
"15",1.3354043314479
"16",1.37695795366182
"17",1.28294538938514
"18",1.11519938922531
"19",1.30832153972888
"20",1.04962289033339
"21",0.959451208768302
"22",0.931438151633327
"23",1.07197961119216
"24",0.841138387826218
"25",0.993814159992372
"26",0.844921796680542
"27",0.819412423663103
"28",0.800929480690445
"29",0.855306327006189
"30",0.714951324544358
"31",0.64446654880067
"32",0.465522713123961
"33",0.617942748618794
"35",0.508698680001908
"37",0.336681112116631
"38",0.336244488764972
"41",0.58461223839245
"42",0.559575303077216
"45",0.354227172026711
"46",0.36537887452586
"49",0.40799625997298
"56",0.317763632307258
"58",0.294408229857005
"59",0.379704645664481
"60",0.373646822236297
"61",0.208773563021267
"69",0.25084630268288
"70",0.262377465195142
"71",0.25232152741976
"72",0.253004130857739
"79",0.166543101843791
"85",0.00647837495871967
"88",0.0344076181929324
"94",-0.0872355349917032
"99",0.163588463224312
"100",0.00637367624467836
"109",0.0146763573850578
"110",-0.0457604121048685
"116",0.021916861991902
"118",-0.111578893594738
"119",-0.01760258414157
"156",0.0931667942181935
"177",0.181147050620412
"186",-0.0903809955128909
"213",0.053863372879597
"263",-0.204001955755184
"282",-0.0602974362997946
"310",-0.724378895756679
