"","x"
"1",2.05116279069767
"2",2.05116279069767
"3",2.05116279069767
"4",2.05116279069767
"5",2.05116279069767
"6",2.05116279069767
"7",2.05116279069767
"8",2.05116279069767
"9",2.05116279069767
"10",2.05116279069767
"11",2.05116279069767
"12",2.05116279069767
"13",2.05116279069767
"14",2.05116279069767
"15",2.05116279069767
"16",2.05116279069767
"17",2.05116279069767
"18",2.05116279069767
"19",2.05116279069767
"20",2.05116279069767
"21",2.05116279069767
"22",2.05116279069767
"23",2.05116279069767
"24",0.25752508361204
"25",0.25752508361204
"26",0.25752508361204
"27",0.25752508361204
"28",0.25752508361204
"29",0.25752508361204
"30",0.25752508361204
"31",0.25752508361204
"33",0.25752508361204
"35",0.25752508361204
"36",0.25752508361204
"37",0.25752508361204
"38",0.25752508361204
"40",0.25752508361204
"42",0.25752508361204
"43",0.25752508361204
"45",0.25752508361204
"46",0.25752508361204
"48",0.25752508361204
"49",0.25752508361204
"50",0.25752508361204
"58",-0.801324503311258
"69",-0.801324503311258
"71",-0.801324503311258
"73",-0.801324503311258
"86",-0.801324503311258
"91",-0.801324503311258
"93",-0.801324503311258
"96",-0.801324503311258
"114",-0.801324503311258
"116",-0.801324503311258
"130",-0.801324503311258
"136",-0.801324503311258
"142",-0.801324503311258
"146",-0.801324503311258
"147",-0.801324503311258
"184",-0.801324503311258
"186",-0.801324503311258
"194",-0.801324503311258
"198",-0.801324503311258
"205",-0.801324503311258
"218",-0.801324503311258
"235",-0.801324503311258
"281",-0.801324503311258
"283",-0.801324503311258
