TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
Houston,B12,40,35,124.7,87.3,0.9836,51.7,44.8,14.2,20.9,36.9,28.6,27.2,34.2,47.8,44.5,39.4,30.2,61.8,11.5,2ND,1
Duke,ACC,39,35,130.6,92,0.9824,57.9,44.4,14,17.1,34,27.3,32.9,25,57.9,43,38.6,31.1,66,9.5,F4,1
Auburn,SEC,38,32,127.7,93,0.9746,54.9,46.1,13.6,17.4,34.2,29.7,33.9,38.7,55.7,46.8,35.9,29.8,68.3,12.7,F4,1
Florida,SEC,40,36,127.8,94.2,0.9709,54.9,45.5,15.7,16.6,38.5,29,34.9,32.5,56.1,46.3,35.6,29.4,69.9,11.1,Champions,1
Alabama,SEC,37,28,127.7,96.6,0.9612,56.6,47.8,16.6,13.5,33.7,29.4,39.3,33.2,59.7,49,35.3,30.4,75.1,10.1,E8,2
Tennessee,SEC,38,30,120.2,91.9,0.9563,52.5,45,16.1,17.7,35.6,30.3,35.5,28.2,54,46.6,33.8,28.7,63.9,9.3,E8,2
Texas Tech,B12,37,28,126.1,97.6,0.9501,54.7,48.1,14.2,17.1,34.2,28.3,29.2,33.4,54.5,47.9,36.7,32.4,66.1,5.8,E8,3
Gonzaga,WCC,35,26,124.8,96.7,0.9494,56,47.5,13.4,18,32.5,26.9,30.7,29.3,57.5,48.9,35.4,30.2,70.5,2.8,R32,8
Maryland,B10,36,27,118.6,92.1,0.9484,53.6,47.1,14.3,20.1,30.7,28.2,33.1,26.1,52.2,47.8,37.3,30.6,69.7,5.2,S16,4
Arizona,B12,37,24,124.9,97.4,0.9459,53.3,48.9,16,16.2,36,27.9,35.8,29.8,54.7,47.5,33.8,34,70.3,5.4,S16,4
Iowa St.,B12,35,25,119.3,93.3,0.9441,54.9,48.9,17,21.6,32.2,27.9,37.9,29,55.5,47.8,35.8,33.6,68.8,5.4,R32,3
Wisconsin,B10,37,27,123.1,96.8,0.941,53.8,48.1,14,14.5,28,26.7,34.2,27.7,55.2,46.9,34.8,33.3,67.9,6.6,R32,3
Michigan St.,B10,37,30,117.3,92.3,0.9399,50.9,46.2,16.4,15.9,35.3,24.7,37.7,31.5,53,49.1,31.1,28,67.6,8.5,E8,2
BYU,B12,36,26,126.8,100.2,0.9373,57,51.4,17.4,16.9,33.7,26.4,30.4,29.4,58.6,49.6,36.8,35.7,67.6,4.8,S16,6
Purdue,B10,36,24,125.6,99.4,0.9366,55.9,51.8,15.7,17.5,31.8,29.7,34.6,30.1,55.1,55.6,38.2,31.2,65.2,4.9,S16,4
St. John's,BE,36,31,113,90,0.9314,49.2,45.9,15.3,21.4,37.9,29.8,30.3,30.7,51,46,30.1,30.6,70.1,7.8,R32,2
Kentucky,SEC,36,24,123.4,98.5,0.9305,55.9,50.3,15,14.1,28.2,26.4,35.2,30.6,55.6,53.9,37.5,30.5,70.9,5.6,S16,3
UCLA,B10,34,23,117.9,94.3,0.9288,52.8,50.1,15.9,22.8,32.7,29.8,32.3,33.9,52.8,50.7,35.2,32.8,65.1,3.9,R32,7
Illinois,B10,35,22,122.5,98.5,0.9248,52.4,47.4,16,12.4,35.8,25.8,34.4,26.9,57.3,46.1,31.3,33.6,71.5,4,R32,6
Missouri,SEC,34,22,125.9,101.2,0.9247,55.8,50.9,15.5,20.1,33.5,32.3,47.1,35.7,56.3,51.2,36.7,33.6,68.6,3.2,R64,6
Kansas,B12,34,21,116,93.7,0.921,53.1,46.3,16.9,15.6,30.5,27.6,24.4,28.1,53,46.3,35.4,30.8,68.6,4.2,R64,7
Michigan,B10,37,27,115.7,93.9,0.9166,53.8,46.1,19.6,15.8,33.2,30.2,35.7,28.4,56.7,46,33.2,30.8,70,6.8,S16,5
Texas A&M,SEC,34,23,116,94.2,0.9165,47.6,48.3,17.8,19.4,41.4,28,41.3,35.7,48.6,46.8,30.7,33.3,66.7,5.5,R32,4
Louisville,ACC,35,27,118,95.9,0.9151,53.2,49.7,16.3,18.5,31.9,27.1,33.7,27.1,56.8,48.7,32.8,34.1,69.2,5.5,R64,8
Mississippi,SEC,36,24,119.3,97,0.9146,51.4,50.5,12.9,20.2,25.5,30.4,35.3,39.3,51,51.8,34.8,32.5,68.1,4.9,S16,6
Clemson,ACC,34,27,117.3,95.5,0.9137,53.4,48.8,15.8,20,33.7,30.4,28.3,27.8,52.2,49.5,36.9,31.9,64.6,4.8,R64,5
Saint Mary's,WCC,35,29,114.1,93,0.9137,50.2,46.5,14.9,16.3,39.9,24.6,31.1,25,51.2,46.2,32.2,31.5,61.9,4.4,R32,7
Oregon,B10,35,25,116.5,96.2,0.8998,52.5,48.9,16.2,17.5,30.5,29.1,33,27.5,53.1,49.7,34.4,31.7,68.1,5.8,R32,5
Baylor,B12,35,20,121.3,100.3,0.899,51.1,52,15.9,18.6,36,30.9,30.5,33.7,50.9,50.8,34.3,35.9,64.7,2.1,R32,9
Marquette,BE,34,23,116.5,97,0.8909,52,49.9,13.6,21.4,30,31,25.9,30.5,54.7,51.3,32.6,31.8,67.9,3.6,R64,7
Creighton,BE,36,25,118.4,98.7,0.8904,56.1,47.2,17.9,11.6,26.4,27.2,28.6,17.2,60.4,46.2,34.5,32.6,67.4,3,R32,9
VCU,A10,35,28,116,96.7,0.89,52.4,44.8,16.8,20.5,36.5,30.4,31.5,36.6,53.9,44.1,33.8,30.7,66.4,1,R64,11
North Carolina,ACC,37,23,119.3,99.8,0.886,54.1,49.5,15.1,15.3,29.1,26.9,34.8,30.5,54.5,49.1,35.6,33.5,70.8,1.4,R64,11
Georgia,SEC,33,20,115.7,97,0.8844,52.1,47.7,18.8,18,36,31.9,40.1,30.3,53.7,47.9,32.9,31.6,66.7,2,R64,9
Mississippi St.,SEC,34,21,118.4,99.2,0.8842,51.9,51.8,15.3,18.9,33.9,29.9,31.5,35.3,55.5,50.3,31.4,35.8,68.2,3.1,R64,8
Connecticut,BE,35,24,120.8,101.2,0.8841,55,48.1,17,15.7,35.5,27.8,30.8,41,57,45.8,34.8,35,64.1,2.3,R32,8
West Virginia,B12,32,19,110.1,92.4,0.882,50,46.3,16.2,19.4,25.9,30.8,25.6,32.2,50.9,47.3,32.6,29.7,64.4,1.5,N/A,N/A
Arkansas,SEC,36,22,113.7,95.5,0.8815,52.2,47.6,16.3,17.2,28.1,29.9,35.6,29.2,54.1,47.9,32.7,31.4,69.4,1.4,S16,10
Colorado St.,MWC,36,26,117.4,99,0.8767,55.5,48.5,17.2,16.7,27,25.8,31.6,33.2,56.4,47.7,36.3,33.2,66.1,0.8,R32,12
Xavier,BE,34,22,116.8,99,0.8709,54.1,51,15.6,17.6,24.4,25.5,36.7,28.6,51.2,50.6,39.1,34.4,69.2,0.42,R64,11
Ohio St.,B10,32,17,117.5,99.7,0.8691,53.5,48.6,15.6,16.8,28.9,30.5,35.8,39.9,52.6,50.3,36.8,30.5,67.3,-0.38,N/A,N/A
New Mexico,MWC,35,27,112.3,95.4,0.8669,50.8,49.2,15.7,20.3,31.3,25.8,37.3,35,50.7,48.2,34,33.8,72.9,2.7,R32,10
Vanderbilt,SEC,33,20,118.6,101.1,0.862,51.5,52.7,14.5,19.8,31.6,29.7,33.4,38.5,53.5,51.4,32.5,36.6,69.7,1.6,R64,10
Cincinnati,B12,35,19,111.9,95.6,0.8589,51.1,48.8,15.5,19.6,32.2,29.5,23.1,24.9,52.6,48.3,32.4,33,65.9,-1,N/A,N/A
Texas,SEC,35,19,117.4,101,0.8497,52.6,48.9,14.3,16.4,29.7,29.4,36.8,38.9,51.7,47.8,36.2,33.8,67.6,0.15,R68,11
Santa Clara,WCC,34,21,116.6,100.3,0.8495,56,49.5,16.7,16.6,32.7,26.7,28.4,31.3,54.9,51.2,38.2,31.3,69.2,-3.3,N/A,N/A
Northwestern,B10,33,17,113.6,97.9,0.8476,49.8,49.9,14.9,19.8,31.2,30.1,31.3,36.6,49.7,49.4,33.3,33.8,65.2,-2.2,N/A,N/A
Boise St.,MWC,37,26,116.1,100.2,0.8443,52.6,50.4,16.4,16.4,32.7,22.5,37.6,31.4,56.4,49,31.7,35.2,66,0.01,N/A,N/A
UC San Diego,BW,35,30,113,97.5,0.8439,55.1,47.8,13.4,23.3,25.6,28.6,33.4,29.9,56,46.3,36.1,33.1,66,0.9,R64,12
Indiana,B10,32,19,113.1,97.7,0.8435,51.1,49.8,16.7,16.4,31.5,28.1,33.1,29.6,52.6,50.3,32.1,32.7,68.3,0.9,N/A,N/A
Oklahoma,SEC,34,20,116.8,100.9,0.8435,54.4,51,17.3,18.2,26.6,31.8,39.9,35.7,54.1,55,36.5,30.3,68.7,2.2,R64,9
Drake,MVC,35,31,113.1,97.7,0.8428,53.9,51.4,18.4,21.8,35.3,25.7,42.7,36.7,54.1,54.4,35.6,31.2,59.1,2.7,R32,11
Villanova,BE,36,21,119,102.9,0.8422,54.5,51.1,15.3,15.8,30.3,27.7,29.2,30.4,51.3,50.5,39,34.5,63.5,-2.9,N/A,N/A
Utah St.,MWC,34,26,121.3,105.4,0.8336,55.3,51.9,16,20.1,34.7,30.3,37,35.6,57.5,52.7,34.9,34,67.7,2.3,R64,10
SMU,ACC,35,24,116.2,101.1,0.8321,54.5,48.1,17.2,17.9,36.3,29.9,36.7,32.7,53.3,47,37.8,33.1,69.2,-0.48,N/A,N/A
USC,B10,35,17,116.6,101.5,0.8311,54.8,51.9,17.7,17.7,27.9,30.2,35.5,34.6,54.8,53.4,36.5,33,68.6,-3.2,N/A,N/A
Nebraska,B10,35,21,113.4,98.8,0.8295,52.1,50.5,16.2,17.6,27.1,28.5,35.5,26.6,53.2,50.3,33.5,33.9,67.9,-0.9,N/A,N/A
McNeese St.,Slnd,35,28,113.9,99.7,0.8216,53,47.7,16.2,21.7,34.5,31.7,35.3,31.9,53.1,46.9,35.2,32.4,65.8,-0.39,R32,12
Kansas St.,B12,33,16,109.3,96.1,0.8147,50.6,49,17.7,18.1,29.4,31.7,27.6,28.6,51.8,49.9,32.5,31.5,67.3,-2.5,N/A,N/A
San Diego St.,MWC,31,21,108.9,95.8,0.8132,50.5,45.9,16.8,19.5,29.2,31,32.3,37.4,51.5,45.1,32.6,31.2,66.1,1,R68,11
