RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
1,Duke,ACC,34,32,128.2,90.8,0.9813,56.8,46.2,15.7,18.1,38.1,24.8,37.8,23.7,60.1,46.6,35.1,30.4,65.8,13.7,1
2,Michigan,B10,34,31,127.6,91,0.9799,58.1,44.7,16.7,15.5,35.4,27.7,37.7,26.3,61,44.3,36,30.2,71.2,14,1
3,Arizona,B12,34,32,126.9,91.4,0.9776,55.1,45,15.1,16.7,38.1,26.9,42.9,27.7,55.4,43.8,36,31.4,70,13.7,1
4,Florida,SEC,33,26,126.1,92.3,0.9732,53.5,46.3,16.5,15.4,43.2,24.8,39.1,34,57.9,45.2,30.8,32.4,70.4,8.5,1
5,Houston,B12,34,28,125.4,92.4,0.9709,52.1,46.6,13,21,35.9,30.9,26.9,39,51.9,45.5,34.9,32.1,63.3,9,2
6,Illinois,B10,32,24,131.9,98.2,0.9676,55.1,47.6,13.2,11.6,38.7,27,32.9,20.6,58.2,48,34.7,31.4,65.7,6.6,3
7,Iowa St.,B12,34,27,123.8,92.6,0.9655,56.5,49.5,15.1,22.4,35.3,28.1,34,27.9,55.5,50.5,38.7,32.1,67,7.4,2
8,Purdue,B10,35,27,133.3,100.3,0.9636,57.6,52.3,13.5,15.6,36.3,26.4,28.6,26,58.1,53.1,37.9,34.2,64.4,9.2,2
9,Connecticut,BE,34,29,123.1,95,0.9518,55.3,45.7,16.8,18,35.7,28.7,30,40.2,57.1,45.8,35.2,30.3,64.6,8.8,2
10,Vanderbilt,SEC,34,26,127.5,99.3,0.9461,55.3,48.8,13.3,17.9,31.2,31.6,38.2,41,56.8,49.1,35.5,32.2,69,7.3,5
11,Gonzaga,WCC,33,30,120.3,94,0.9445,56.3,46.2,13.7,20.5,34.8,25.9,31.1,31,58.7,46.2,34,30.8,68.9,7.4,3
12,Texas Tech,B12,32,22,126.3,98.8,0.9439,56.2,49.4,15.9,14.7,33.3,30.1,27.1,31.6,53.6,50.6,39.3,31.5,66.4,5.1,5
13,Michigan St.,B10,32,25,122.9,96.2,0.9437,53.6,48.6,17.1,14.8,38.5,22.6,36.2,30.9,53.4,48,35.9,32.9,66,7.4,3
14,Virginia,ACC,34,29,122.3,95.8,0.9427,54.6,45.3,16,15.6,37.9,29.2,33,33,55.2,44.7,35.9,30.9,65.6,7.8,3
15,St. John's,BE,34,28,119.8,94.1,0.9415,51,47.4,14.7,19.4,35.9,30.2,41.9,31.8,51.6,47.5,33.2,31.3,69.6,7.3,5
16,Tennessee,SEC,33,22,121.5,95.5,0.9408,51.6,47.7,17.1,16.3,45.1,27.9,38.7,36.2,52.2,49.2,33.4,30.6,65.2,4.1,6
17,Louisville,ACC,33,23,124,98.2,0.9364,56.4,48.8,16.4,16.7,32.9,26.9,33.5,33.4,59.7,48.6,35.7,32.7,69.7,4,6
18,Alabama,SEC,32,23,129.5,102.8,0.9344,55.4,49.2,13,12.6,31.8,32.8,37.2,32.7,57.3,48.6,35.8,33.5,73.1,6.6,4
19,Arkansas,SEC,34,26,127.9,101.7,0.9337,56.5,51.4,12.3,15.7,32.2,31.2,36.4,31.3,55.6,53.7,38.9,31.7,71,7.5,4
20,Nebraska,B10,32,26,117.2,93.5,0.931,55.4,47.8,14.4,19.2,26.3,27.7,27.2,24.8,58.1,50.6,35.3,29.9,66.8,7.5,4
