"","x"
"1",3.8268887088478
"2",3.75690478251109
"3",3.52933412144775
"4",3.30600453636481
"5",3.21698469749434
"6",3.02368557823144
"7",2.71385455077374
"8",3.22639890219918
"9",2.13925639976561
"10",1.42412977197449
"11",1.70766058973156
"12",1.94085199469106
"13",1.61566710464982
"14",2.13558831950983
"15",1.3278935074256
"16",1.26321200694066
"17",0.699843038155685
"18",1.68799109171675
"19",1.98998973857824
"20",1.80059531863437
"21",1.56337968566702
"22",1.57168060881973
"23",0.870009769106767
"24",1.53473887054511
"25",0.852201324322875
"26",0.569562890566978
"27",0.105599747900369
"28",0.60237727362134
"29",1.11809750461436
"30",0.281105942295719
"31",0.314102243920069
"33",-0.10073024849486
"35",0.384130578504361
"36",0.621055757084434
"37",-0.168791975021455
"38",-0.0219147300968511
"40",0.0189797475654497
"42",-0.0513318969728041
"43",-0.357193564309707
"45",-1.03241539188845
"46",-0.792767260902415
"48",-0.233375906791119
"49",-0.23942709040296
"50",-0.393757383815149
"58",-0.757948998707066
"69",0.482261145874779
"71",-0.177295071028538
"73",-0.266713199519942
"86",-1.15034405177003
"91",-0.47978156668537
"93",-0.777050411698246
"96",-0.711536435750179
"114",-0.188384531623524
"116",-1.35655584485697
"130",-0.600478316709731
"136",-0.533627112700865
"142",-1.04416055537268
"146",-1.36678901583567
"147",-1.00089714497264
"184",-1.61785948692255
"186",-0.99303766254646
"194",-0.729613153172251
"198",-1.44001724268619
"205",-1.70445954889953
"218",-1.5014965414271
"235",-1.53956564088803
"281",-1.59040352149868
"283",-1.68326678471225
