"","x"
"1",4.12956666666667
"2",4.19946666666667
"3",4.27806666666667
"4",3.57926666666667
"5",3.2497
"6",3.37826666666666
"7",3.43156666666666
"8",3.60613333333333
"9",2.56553333333333
"10",0.992
"11",2.47046666666667
"12",1.03143333333333
"13",0.737666666666667
"14",1.7144
"15",1.4209
"16",0.341866666666667
"17",1.40983333333333
"18",1.46196666666667
"19",1.59866666666667
"20",1.1927
"21",1.18183333333333
"22",0.9085
"23",1.03413333333333
"24",0.674466666666667
"25",0.665433333333333
"26",0.5535
"27",0.776466666666667
"28",0.4358
"29",0.3883
"30",0.390633333333333
"31",-0.1416
"33",0.0307333333333333
"35",0.257033333333333
"36",0.396966666666667
"37",0.103166666666667
"38",-0.748466666666667
"40",-0.399833333333333
"42",-0.443933333333333
"43",0.2372
"45",-0.280233333333333
"46",-0.783166666666667
"48",-0.0541666666666667
"49",0.0101
"50",-0.116866666666667
"58",-0.3541
"69",0.0695333333333333
"71",-0.311633333333333
"73",-0.362766666666667
"86",-0.380833333333333
"91",-0.344233333333333
"93",0.3275
"96",-0.599066666666667
"114",-0.726033333333333
"116",-0.9314
"130",-0.906933333333333
"136",-0.829633333333333
"142",-0.986833333333333
"146",-0.996766666666667
"147",-0.755633333333333
"184",-1.13073333333333
"186",-1.12963333333333
"194",-0.720866666666667
"198",-0.7454
"205",-1.25196666666667
"218",-1.04676666666667
"235",-1.2951
"281",-1.52023333333333
"283",-1.77653333333333
