"","x"
"1","Duke"
"2","Michigan"
"3","Arizona"
"4","Florida"
"5","Houston"
"6","Illinois"
"7","Iowa St."
"8","Purdue"
"9","Connecticut"
"10","Vanderbilt"
"11","Gonzaga"
"12","Texas Tech"
"13","Michigan St."
"14","Virginia"
"15","St. John's"
"16","Tennessee"
"17","Louisville"
"18","Alabama"
"19","Arkansas"
"20","Nebraska"
"21","Wisconsin"
"22","Kansas"
"23","Ohio St."
"24","UCLA"
"25","Saint Mary's"
"26","Iowa"
"27","North Carolina"
"28","Utah St."
"29","Santa Clara"
"30","Clemson"
"31","Kentucky"
"32","BYU"
"33","Miami FL"
"34","Villanova"
"35","Georgia"
"36","N.C. State"
"37","Texas A&M"
"38","SMU"
"39","Saint Louis"
"40","Texas"
"41","Missouri"
"42","VCU"
"43","TCU"
"44","South Florida"
"45","UCF"
"46","Northern Iowa"
"47","Akron"
"48","McNeese St."
"49","Miami OH"
"50","Hofstra"
"51","High Point"
"52","Cal Baptist"
"53","North Dakota St."
"54","Hawaii"
"55","Wright St."
"56","Idaho"
"57","Troy"
"58","Kennesaw St."
"59","Penn"
"60","UMBC"
"61","Siena"
"62","Furman"
"63","Queens"
"64","Howard"
"65","Tennessee St."
"66","LIU"
"67","Prairie View A&M"
"68","Lehigh"
