LTeamID,WTeamID,Season,DayNum,WScore,LScore,WLoc,NumOT,Winner,Loser
1102,1361,2010,92,70,48,H,0,Gonzaga NCAA,Appalachian State NCAA
1102,1283,2010,33,58,48,H,0,Oklahoma NCAA,Missouri NCAA
1102,1428,2010,82,71,54,H,0,Creighton NCAA,UC-Santa Barbara NCAA
1102,1294,2010,19,70,46,A,0,Virginia NCAA,Ohio NCAA
1102,1395,2010,96,65,51,A,0,Southern California NCAA,Drake NCAA
1102,1424,2010,85,60,50,H,0,Kansas NCAA,Eastern Washington NCAA
1102,1431,2010,57,58,47,H,0,Oregon NCAA,Virginia Commonwealth NCAA
1102,1461,2010,120,58,49,H,0,Iowa NCAA,Grand Canyon NCAA
1102,1307,2010,79,73,50,A,0,Michigan NCAA,Texas Southern NCAA
1102,1307,2010,129,75,69,N,0,Louisiana State NCAA,St. Bonaventure NCAA
1102,1450,2010,40,75,68,N,0,Colorado NCAA,Georgetown NCAA
1102,1428,2010,114,54,43,A,0,Florida State NCAA,North Carolina-Greensboro NCAA
1102,1140,2010,103,91,48,H,0,Brigham Young NCAA,Norfolk State NCAA
1102,1307,2010,110,59,56,H,0,Texas NCAA,Abilene Christian NCAA
1102,1361,2010,124,61,42,A,0,Connecticut NCAA,Maryland NCAA
1102,1319,2010,47,60,52,A,0,Alabama NCAA,Iona NCAA
1102,1395,2010,65,59,50,H,0,Baylor NCAA,Hartford NCAA
1102,1161,2010,99,51,47,A,0,North Carolina NCAA,Wisconsin NCAA
1102,1424,2010,117,77,47,A,0,Villanova NCAA,Winthrop NCAA
1102,1140,2010,72,67,49,A,0,Purdue NCAA,North Texas NCAA
1102,1161,2010,68,70,48,H,0,Texas Tech NCAA,Utah State NCAA
1103,1325,2010,131,81,75,N,1,Arkansas NCAA,Colgate NCAA
1103,1185,2010,91,62,59,A,0,Florida NCAA,Virginia Tech NCAA
1103,1401,2010,32,74,62,H,0,Ohio State NCAA,Oral Roberts NCAA
1103,1301,2010,18,66,45,N,0,Illinois NCAA,Drexel NCAA
1103,1245,2010,123,74,61,A,0,Loyola (IL) NCAA,Georgia Tech NCAA
1103,1245,2010,82,87,70,H,0,Tennessee NCAA,Oregon State NCAA
1103,1348,2010,64,68,63,A,0,Oklahoma State NCAA,Liberty NCAA
1103,1138,2010,76,78,65,H,0,San Diego State NCAA,Syracuse NCAA
1103,1122,2010,13,80,77,A,0,West Virginia NCAA,Morehead State NCAA
1103,1433,2010,110,70,53,H,0,Clemson NCAA,Rutgers NCAA
1104,1199,2010,25,60,51,N,0,Houston NCAA,Cleveland State NCAA
