TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
Akron,MAC,21,24,105.5,102.4,0.5849,52.8,49.3,17.7,17.6,29.1,26.3,40.1,26.2,52.4,47.8,35.6,34.7,62,-3.9,13
Alabama,SEC,30,19,115.8,98.5,0.866,51.5,49.4,19.8,17.7,35.5,30.7,33.6,35.2,56.3,49.3,30.8,33.1,71.7,2.3,6
Arizona,P12,26,31,118.6,93.2,0.9412,55.9,44.4,18,17.7,34.5,28.3,35.1,22.8,57.5,41.9,35.4,32.7,72.3,9.2,1
Arkansas,SEC,28,25,109.6,91.4,0.8903,49.2,47.5,17.4,20.6,30.9,25.8,37.9,32.3,50.9,46.4,30.7,32.8,70.7,4.7,4
Auburn,SEC,27,27,112.4,89.7,0.9307,50.3,44.1,16.7,20.7,33.2,29.3,31.6,34.8,51.9,42.6,32,31.2,70,7.8,2
Baylor,B12,24,26,117.19,91.6,0.9437,52.9,47.8,18.2,22.9,36.3,28.4,28.5,26.9,53.5,49.5,34.6,29.9,67.5,8.8,1
Boise St.,MWC,25,27,108.2,92.5,0.8588,51.1,48.2,18.5,20.1,30.6,21.9,35.2,25.8,51.1,48,34.1,32.4,64.7,4,8
Bryant,NEC,20,22,103.3,103.9,0.485,49.7,47.4,19.1,16.5,33,31.6,32.7,24.4,52.6,47,30.7,32.1,72,-4.7,16
Cal St. Fullerton,BW,15,21,102,102.9,0.4744,49.2,50.8,18.1,20.2,29,28,35.7,26.1,48.7,48,33.5,37.1,66.1,-4.8,15
Chattanooga,SC,24,27,107.7,98.4,0.7388,52.8,49.6,17,18,32.7,26.3,27,27.3,53.9,52.1,34.1,30.6,64.6,0.4,13
Colgate,Pat,15,23,106.6,103.1,0.5926,55.9,49,16.9,16.2,26.5,24.8,26.8,24.3,52.7,48.2,40.2,33.7,67.2,-6.1,14
Colorado St.,MWC,23,25,112.5,98.2,0.8264,55.2,49.9,15.1,18.4,21.9,24.9,30.4,25,56.3,50.5,35.7,32.7,65.4,4.8,6
Connecticut,BE,22,23,113.1,95.1,0.88,49.6,45.7,17.4,18,38,27.5,30.6,31.9,47.8,42.8,35.3,34.5,65.2,3.3,5
Creighton,BE,28,22,103.8,91.8,0.8042,50.9,44.9,20.5,15.5,28.6,28.4,26,20.3,53.9,43.5,30.7,31.7,66.8,2,9
Davidson,A10,20,27,115.8,101.4,0.8209,55.6,49.4,14.8,16.9,23.6,22.2,32.9,28,54.2,48.4,38.4,33.8,64.6,2.4,10
Delaware,CAA,14,22,106.3,103.3,0.5821,53.5,49.3,18.4,18.5,26.8,31.2,34.6,29.3,54.2,47.5,35,34.9,66.6,-5.5,15
Duke,ACC,24,28,120.1,95.2,0.9355,55.6,47,14.9,16.1,31.9,28.5,28.6,18.9,55.8,46.9,36.8,31.4,67.7,6.6,2
Georgia St.,SB,20,18,100.8,98.1,0.5787,45.1,49.7,16.9,22.7,32.8,30.7,30.2,32.8,43.1,45.4,32.3,37.9,67.2,-5,16
Gonzaga,WCC,26,26,121.4,88.5,0.9744,59.4,43.2,15.9,17,29,23,29.7,22.2,60.9,41.6,37.9,30.7,72.8,7,1
Houston,Amer,26,29,117,89.2,0.9577,53.6,43.5,17.1,21.7,37.8,27.3,28.7,35.1,55.1,43.5,34.1,29,64,6.5,5
Illinois,B10,29,22,113.6,93.2,0.9069,53.1,46.3,17.7,15.6,33.4,25.8,31.7,28.4,51.7,45.5,36.7,32.2,67.1,4.7,4
Indiana,B10,27,21,108.1,90.7,0.8824,51,45.7,17.2,17.7,27.3,24.9,33.5,30.8,51.4,43.6,33.5,32.6,67.1,0.7,12
Iowa,B10,29,26,121.8,97,0.9317,53.6,49.8,12.9,19.3,32.2,30.2,30.4,26.2,52.6,50,36.8,32.9,69.8,5.1,5
Iowa St.,B12,24,20,102.9,90.3,0.8191,49.9,48.4,20.4,24.5,28.2,28.5,28.1,36.2,50.9,50.7,32.1,29.6,66.3,2.6,11
Jacksonville St.,OVC,25,21,104.4,102.2,0.5608,54.2,48,20,17.1,28.3,26.2,32.2,21.1,51.8,47.4,38.2,32.5,65.2,-5,15
Kansas,B12,27,28,119.9,93.1,0.9481,54.1,46.9,17.8,18.4,33.4,28.9,32.8,27.8,54.5,47.9,35.5,30.1,69.1,10.3,1
Kentucky,SEC,25,26,119.3,94.3,0.9374,53.3,46.5,16.6,17.4,37.8,24.9,27.2,25.1,56.7,47.2,34.9,30.3,67.7,7,2
Longwood,BSth,27,26,105.9,103.3,0.5735,51.7,50.6,18.2,20.1,33.6,24.5,35.9,26.8,48,53.6,38.6,31.1,65.8,-2.2,14
Loyola Chicago,MVC,26,25,108.6,93.5,0.8487,56.3,47,18.4,19.9,25.1,23.9,31.9,28.4,55.8,46.9,38,31.5,64.6,2,10
LSU,SEC,27,22,106.4,89.5,0.8794,49.5,45.1,20.4,25.3,33.7,31.2,33,38.4,50.5,47.7,31.9,28,68.8,2.5,6
Marquette,BE,27,19,108.7,95.7,0.8121,52.6,46.7,17.3,19.1,22.4,31.4,26.8,29.7,52.9,46.2,34.7,31.7,71.1,0.7,9
Memphis,Amer,24,21,111,92.8,0.8878,52.6,46.5,22.9,20.9,37.5,31,38.4,32.9,52,45.3,35.9,32.1,70.5,1.7,9
Miami FL,ACC,27,23,114.1,100.7,0.8085,54.2,53.4,14.2,20.3,23.4,30.3,28.9,24.6,54.9,53.9,35.3,35.2,67.5,2.2,10
Michigan,B10,24,17,114.6,97,0.8728,52.3,50.3,17.1,15,31.2,23.8,28.9,26.6,53,50.8,34,33,66.2,0.7,11
Michigan St.,B10,27,22,110.7,95.7,0.8422,52,47.5,19.2,15.3,30.7,27,30.4,28.3,49.7,47.9,37.8,31.2,67.7,3.5,7
Montana St.,BSky,21,27,103.5,101.2,0.5655,54.1,48.6,18.5,18.3,26.7,23.3,40.5,36.2,53.2,48.2,37.2,32.8,67,-2.6,14
Murray St.,OVC,24,30,109.6,95.1,0.8357,52.9,48,17.1,21,35.5,25.4,31.1,24.6,53.5,50,34.7,30.1,65.9,3.7,7
New Mexico St.,WAC,17,26,106.4,97.1,0.7402,52.2,45.5,20.7,16.9,33.3,26.2,35.4,27.8,54.1,45.8,33,30,66.3,1,12
Norfolk St.,MEAC,21,24,101.2,102.3,0.4698,51.5,45.1,19.9,18.5,29.8,27.2,39.1,33.3,51.3,46.3,34.5,29.1,67.2,-3,16
North Carolina,ACC,28,24,112.3,96.3,0.8546,52.1,49.8,16.5,14.1,30.4,20.8,29.6,21.5,50.7,48.3,36.2,34.9,70.2,3.9,8
Notre Dame,ACC,26,22,112,97.3,0.8342,54,49.1,15.5,15,22.1,24,27.7,22.9,52,49.9,37.8,31.7,65.6,1.5,11
Ohio St.,B10,30,19,116.9,99.6,0.8629,54.8,47.9,16.7,15.3,28.8,28.6,33.5,29.2,54,46.2,37.3,34,65.2,1.8,7
Providence,BE,26,25,111.8,97.8,0.8232,50.3,46.7,17.3,15.8,30.5,28,38.5,26.3,49.6,46.6,34.3,31.2,65.4,6,4
Purdue,B10,27,27,122.2,97.7,0.9296,57,49.6,17.3,14.1,35.2,23.6,36.3,21.4,55.9,49.2,39.1,33.5,65.8,7.5,3
Richmond,A10,20,23,107.9,99.4,0.7202,51.5,50.5,14.4,18.9,22.4,27.2,30.9,23.5,52.2,50,33.8,34.3,66.8,-1.3,12
Rutgers,B10,26,18,105.8,95.3,0.7688,49.5,48.3,17.3,18.2,29.3,27.1,26.9,28.8,49.1,46.5,33.6,34,65.1,-0.2,11
Saint Mary's,WCC,23,25,109.3,90.1,0.9026,52.6,48.3,17.1,19.5,27.3,21.9,23.2,24.4,52.6,47,35.1,34.4,63.7,4.5,5
Saint Peter's,MAAC,25,19,98.1,94.1,0.6188,47.8,44.1,20.8,20.9,31.5,28,37.5,41,45.9,44,34.8,29.4,65.8,-5.7,15
San Diego St.,MWC,26,23,102.2,86.4,0.8732,48.8,44,19.3,21.7,29.6,27,31.3,30.6,46.6,43.1,35.8,30.4,65.3,3.1,8
San Francisco,WCC,25,24,110.3,92.3,0.8857,53.1,46.9,18.1,18.5,30.3,23.8,28.4,32.2,53.9,48.4,34.7,28.9,68.8,2.1,10
Seton Hall,BE,27,21,106.8,93.6,0.8195,47.6,45.4,17.5,18.5,32.7,29.1,30.8,27.8,46.2,44.8,33.3,31,67.6,2.2,8
South Dakota St.,Sum,22,30,115.3,103.8,0.7702,59.7,51.5,15.3,15.8,24,24.2,35.2,21.3,56.3,50.6,44.2,35.2,69.6,1.9,13
TCU,B12,26,20,107.9,93.4,0.8406,48.9,47.7,21.6,18.4,37.8,26.1,31.2,26.7,50.5,47.9,30.3,31.5,65.9,2.8,9
Tennessee,SEC,26,26,110.8,87.2,0.9406,50.3,46.2,18,22.9,32.8,27.4,29.6,31.6,48,45.8,35.8,31.2,67.2,8.2,3
Texas,B12,26,21,111.4,91.1,0.9101,50.1,46.5,18.2,23.3,31.9,30,32.3,36.8,50.9,46.1,32.3,31.6,63,3.2,6
Texas A&M Corpus Chris,Slnd,21,23,96.3,102.7,0.3232,47.2,49,19.7,22.6,34,28.8,38,42.3,46.9,50.3,31.8,31.5,69.2,-7.5,16
Texas Southern,SWAC,23,19,96.9,98.5,0.4524,48.6,44.8,21.3,17.2,33.5,27.8,33.6,34.1,49.1,44.9,31.7,29.8,67.9,-6.5,16
Texas Tech,B12,27,25,108.8,85.3,0.9422,52.4,45.5,20.3,23.6,33.3,26.1,36.1,32.1,55.1,44.3,31.4,31.3,66.4,6.4,3
UAB,CUSA,27,27,111.5,98.6,0.8045,52.9,47.9,16.3,21.4,33.4,27.4,29.5,31.5,50.6,47.5,38.3,32.4,68.9,0.2,12
