"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1","Houston","Amer",0.958749,1,118.247,12,89.9461,4,63.2622,343,8.4032246412053,22,0.5374,0.5374,23,0.6137,0.6164,1,2023
"2","Alabama","SEC",0.956558,2,116.978,15,89.4003,3,72.7037,4,10.565779734402,34,0.7022,0.7022,34,0.7403,0.7403,1,2023
"3","UCLA","P12",0.946409,3,113.621,33,88.5167,2,66.3452,226,8.455387926235,19,0.5312,0.5312,28,0.6816,0.6873,2,2023
"4","Tennessee","SEC",0.941698,4,112.37,49,88.2243,1,65.5825,275,3.139682351175,24,0.5682,0.5682,28,0.679,0.6773,4,2023
"5","Connecticut","BE",0.941476,5,119.827,6,94.1115,20,66.9802,189,4.9733122318397,21,0.5029,0.5029,28,0.6683,0.6649,4,2023
"6","Purdue","B10",0.938723,6,119.5,7,94.2545,21,64.077,330,9.1908495559489,22,0.5442,0.5442,30,0.7057,0.7057,1,2023
"7","Gonzaga","WCC",0.93245,7,125.217,1,99.6628,80,70.0156,44,7.0807214482321,28,0.6128,0.6128,26,0.6436,0.6439,3,2023
"8","Texas","B12",0.931341,8,115.851,19,92.3484,10,68.7967,103,8.035027792243,20,0.5209,0.5209,35,0.7344,0.7366,2,2023
"9","Saint Mary's","WCC",0.927985,9,113.16,37,90.6071,6,62.0747,356,3.9266797235409,20,0.6032,0.6032,23,0.6457,0.6409,5,2023
"10","Arizona","P12",0.927427,10,120.493,4,96.5484,40,72.4271,7,7.5227502047757,24,0.5916,0.5916,28,0.6806,0.6814,2,2023
"11","San Diego St.","MWC",0.926769,11,112.969,40,90.5959,5,66.1024,243,6.5202474372049,25,0.6365,0.6365,26,0.6969,0.6943,5,2023
"12","Kansas","B12",0.916299,12,113.748,32,92.3781,11,69.1163,88,10.468454391545,26,0.6427,0.6427,38,0.7753,0.7861,1,2023
"13","Marquette","BE",0.91189,13,119.032,9,97.143,44,68.6272,115,7.4739368120355,19,0.5136,0.5136,28,0.6759,0.6754,2,2023
"14","Baylor","B12",0.908932,14,123.099,2,100.779,99,67.0102,188,5.684777706837,25,0.5589,0.5589,36,0.741,0.7446,3,2023
"15","Creighton","BE",0.90703,15,114.643,25,94.0424,18,67.895,152,1.8897147188803,27,0.6291,0.6291,31,0.7111,0.7078,6,2023
"16","Memphis","Amer",0.901848,16,115.56,22,95.2905,31,71.5372,20,5.1187452115617,26,0.6413,0.6413,28,0.6808,0.6756,8,2023
"17","Texas A&M","SEC",0.899992,17,115.067,24,95.0557,28,66.1885,234,4.1326710547256,15,0.4752,0.4752,28,0.6671,0.6623,7,2023
