,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,27,23,4,0.852,6.11,-8.46,,13,2,,13,0,,5,4,,2096,1634,,72.5,107,0.351,0.372,0.552,51.8,65.6,13.7,9.2,0.526,16.5,31.7,0.236
7,Alabama NCAA,30,24,6,0.8,20.18,10.38,,16,2,,12,1,,7,3,,2387,2093,,75.1,105.9,0.286,0.471,0.542,51,51.1,11.5,10.6,0.513,16,31.5,0.206
11,Appalachian State NCAA,28,17,11,0.607,-5.32,-5.23,,7,8,,9,4,,4,7,,1986,1806,,66.7,104.1,0.343,0.431,0.525,50.6,49.4,11.8,9.8,0.484,14.8,29.9,0.253
17,Arkansas NCAA,28,22,6,0.786,18.07,6.36,,13,4,,16,1,,5,4,,2307,1979,,75.3,108.9,0.327,0.358,0.55,52.8,50.8,10.7,13.5,0.515,14.9,31.7,0.241
22,Baylor NCAA,24,22,2,0.917,23.32,5.36,,13,1,,11,0,,7,1,,2025,1594,,70.2,119.5,0.27,0.392,0.593,53.2,54.8,12.7,10.3,0.575,14.9,37.5,0.188
31,Brigham Young NCAA,26,20,6,0.769,14.53,5.81,,10,3,,11,2,,7,2,,2047,1780,,70.5,110.1,0.274,0.396,0.582,54.8,57.4,6.6,7.2,0.557,16.4,28.7,0.2
46,UC-Santa Barbara NCAA,26,22,4,0.846,5.99,-4.35,,15,3,,11,0,,8,4,,1989,1633,,67.4,112.5,0.342,0.339,0.579,54.2,59,11.1,7.4,0.545,14.2,29.4,0.257
60,Clemson NCAA,23,16,7,0.696,13.5,10.2,,10,6,,11,1,,2,5,,1502,1426,,64.9,100.1,0.236,0.439,0.534,50.2,56.4,9.3,9.2,0.504,17.2,26.6,0.18
61,Cleveland State NCAA,26,19,7,0.731,-4.17,-5.05,,16,4,,9,2,,8,5,,1858,1835,,67.6,103.2,0.32,0.343,0.533,49.8,53.1,10.1,7.7,0.507,16.1,30.9,0.214
63,Colgate NCAA,15,14,1,0.933,19.16,1.43,,11,1,,8,1,,6,0,,1295,1029,,72.2,118.6,0.311,0.357,0.596,53.3,55.5,9.9,8.7,0.571,12.2,28.1,0.227
66,Colorado NCAA,30,22,8,0.733,16.74,6.98,,14,6,,11,1,,6,6,,2191,1898,,66.3,110.2,0.299,0.359,0.563,53.2,51.3,8,7.8,0.52,14.6,30.8,0.246
68,Connecticut NCAA,22,15,7,0.682,17.12,9.21,,11,6,,7,3,,6,3,,1596,1422,,66.6,108.4,0.296,0.333,0.529,53.4,49.4,9.2,14.4,0.495,14.6,36.6,0.216
