"","x"
"1","Houston"
"2","Duke"
"3","Auburn"
"4","Florida"
"5","Alabama"
"6","Tennessee"
"7","Texas Tech"
"8","Iowa St."
"9","Arizona"
"10","Maryland"
"11","Gonzaga"
"12","Wisconsin"
"13","Michigan St."
"14","BYU"
"15","St. John's"
"16","Missouri"
"17","Kentucky"
"18","Louisville"
"19","Purdue"
"20","Clemson"
"21","Kansas"
"22","Texas A&M"
"23","Illinois"
"24","Saint Mary's"
"25","UCLA"
"26","Michigan"
"27","Baylor"
"28","Mississippi"
"29","Georgia"
"30","VCU"
"31","Marquette"
"32","North Carolina"
"33","Mississippi St."
"34","Creighton"
"35","Connecticut"
"36","Xavier"
"37","Oregon"
"38","Colorado St."
"39","Vanderbilt"
"40","Arkansas"
"41","New Mexico"
"42","Oklahoma"
"43","UC San Diego"
"44","Texas"
"45","Utah St."
"46","Liberty"
"47","Drake"
"48","San Diego St."
"49","Memphis"
"50","McNeese St."
"51","Yale"
"52","Grand Canyon"
"53","High Point"
"54","Akron"
"55","Lipscomb"
"56","Troy"
"57","UNC Wilmington"
"58","Nebraska Omaha"
"59","Montana"
"60","Wofford"
"61","Robert Morris"
"62","Bryant"
"63","Norfolk St."
"64","SIU Edwardsville"
"65","American"
"66","Mount St. Mary's"
"67","Alabama St."
"68","St. Francis PA"
