"","LTeamID","WTeamID","Season","DayNum","WScore","LScore","WLoc","NumOT","Winner","Loser"
"135",1102,1361,2010,92,70,48,"H",0,"San Diego St","Air Force"
"141",1102,1283,2010,33,58,48,"H",0,"Missouri St","Air Force"
"175",1102,1428,2010,82,71,54,"H",0,"Utah","Air Force"
"201",1102,1294,2010,19,70,46,"A",0,"N Colorado","Air Force"
"210",1102,1395,2010,96,65,51,"A",0,"TCU","Air Force"
"214",1102,1424,2010,85,60,50,"H",0,"UNLV","Air Force"
"241",1102,1431,2010,57,58,47,"H",0,"UTEP","Air Force"
"264",1102,1461,2010,120,58,49,"H",0,"Wyoming","Air Force"
"268",1102,1307,2010,79,73,50,"A",0,"New Mexico","Air Force"
"320",1102,1307,2010,129,75,69,"N",0,"New Mexico","Air Force"
"321",1102,1450,2010,40,75,68,"N",0,"Washington St","Air Force"
"329",1102,1428,2010,114,54,43,"A",0,"Utah","Air Force"
"456",1102,1140,2010,103,91,48,"H",0,"BYU","Air Force"
"473",1102,1307,2010,110,59,56,"H",0,"New Mexico","Air Force"
"492",1102,1361,2010,124,61,42,"A",0,"San Diego St","Air Force"
"497",1102,1319,2010,47,60,52,"A",0,"Northern Arizona","Air Force"
"501",1102,1395,2010,65,59,50,"H",0,"TCU","Air Force"
"506",1102,1161,2010,99,51,47,"A",0,"Colorado St","Air Force"
"511",1102,1424,2010,117,77,47,"A",0,"UNLV","Air Force"
"565",1102,1140,2010,72,67,49,"A",0,"BYU","Air Force"
"621",1102,1161,2010,68,70,48,"H",0,"Colorado St","Air Force"
"715",1103,1325,2010,131,81,75,"N",1,"Ohio","Akron"
"725",1103,1185,2010,91,62,59,"A",0,"E Michigan","Akron"
"757",1103,1401,2010,32,74,62,"H",0,"Texas A&M","Akron"
"789",1103,1301,2010,18,66,45,"N",0,"NC State","Akron"
"890",1103,1245,2010,123,74,61,"A",0,"Kent","Akron"
"910",1103,1245,2010,82,87,70,"H",0,"Kent","Akron"
"958",1103,1348,2010,64,68,63,"A",0,"Rhode Island","Akron"
"1005",1103,1138,2010,76,78,65,"H",0,"Buffalo","Akron"
